5752 distinct characters collected so far.
The 650 most frequent ones are:
任 (U+4EFB: rèn  ): 784 (0.04%)
悟 (U+609F: wù   ): 783 (0.04%)
招 (U+62DB: zhāo ): 782 (0.04%)
哩 (U+54E9: li   ): 769 (0.04%)
甲 (U+7532: jiǎ  ): 769 (0.04%)
呢 (U+5462: ne   ): 768 (0.04%)
兴 (U+5174: xìng ): 767 (0.04%)
新 (U+65B0: xīn  ): 767 (0.04%)
河 (U+6CB3: hé   ): 765 (0.04%)
燕 (U+71D5: yàn  ): 761 (0.04%)
封 (U+5C01: fēng ): 755 (0.03%)
服 (U+670D: fú   ): 753 (0.03%)
伤 (U+4F24: shāng): 752 (0.03%)
攻 (U+653B: gōng ): 751 (0.03%)
跟 (U+8DDF: gēn  ): 748 (0.03%)
觉 (U+89C9: jué  ): 748 (0.03%)
乐 (U+4E50: lè   ): 746 (0.03%)
鼓 (U+9F13: gǔ   ): 745 (0.03%)
久 (U+4E45: jiǔ  ): 743 (0.03%)
追 (U+8FFD: zhuī ): 741 (0.03%)
体 (U+4F53: tǐ   ): 740 (0.03%)
民 (U+6C11: mín  ): 739 (0.03%)
树 (U+6811: shù  ): 739 (0.03%)
比 (U+6BD4: bǐ   ): 739 (0.03%)
称 (U+79F0: chēng): 738 (0.03%)
病 (U+75C5: bìng ): 736 (0.03%)
密 (U+5BC6: mì   ): 736 (0.03%)
列 (U+5217: liè  ): 735 (0.03%)
村 (U+6751: cūn  ): 733 (0.03%)
侍 (U+4F8D: shì  ): 732 (0.03%)
反 (U+53CD: fǎn  ): 728 (0.03%)
排 (U+6392: pái  ): 728 (0.03%)
袭 (U+88AD: xí   ): 726 (0.03%)
响 (U+54CD: xiǎng): 725 (0.03%)
策 (U+7B56: cè   ): 725 (0.03%)
丞 (U+4E1E: chéng): 723 (0.03%)
赵 (U+8D75: zhào ): 722 (0.03%)
木 (U+6728: mù   ): 720 (0.03%)
举 (U+4E3E: jǔ   ): 719 (0.03%)
候 (U+5019: hou  ): 716 (0.03%)
睡 (U+7761: shuì ): 716 (0.03%)
紧 (U+7D27: jǐn  ): 715 (0.03%)
粮 (U+7CAE: liáng): 715 (0.03%)
黛 (U+9EDB: dài  ): 715 (0.03%)
驾 (U+9A7E: jià  ): 714 (0.03%)
俱 (U+4FF1: jù   ): 710 (0.03%)
跳 (U+8DF3: tiào ): 710 (0.03%)
推 (U+63A8: tuī  ): 709 (0.03%)
荣 (U+8363: róng ): 709 (0.03%)
斩 (U+65A9: zhǎn ): 707 (0.03%)
饮 (U+996E: yǐn  ): 707 (0.03%)
柴 (U+67F4: chái ): 706 (0.03%)
牛 (U+725B: niú  ): 705 (0.03%)
修 (U+4FEE: xiū  ): 702 (0.03%)
叔 (U+53D4: shū  ): 702 (0.03%)
丈 (U+4E08: zhàng): 700 (0.03%)
件 (U+4EF6: jiàn ): 696 (0.03%)
雷 (U+96F7: léi  ): 695 (0.03%)
岂 (U+5C82: qǐ   ): 694 (0.03%)
食 (U+98DF: shí  ): 693 (0.03%)
脱 (U+8131: tuō  ): 693 (0.03%)
茶 (U+8336: chá  ): 693 (0.03%)
统 (U+7EDF: tǒng ): 692 (0.03%)
强 (U+5F3A: qiáng): 691 (0.03%)
探 (U+63A2: tàn  ): 691 (0.03%)
特 (U+7279: tè   ): 690 (0.03%)
祖 (U+7956: zǔ   ): 690 (0.03%)
遇 (U+9047: yù   ): 690 (0.03%)
剑 (U+5251: jiàn ): 688 (0.03%)
泊 (U+6CCA: pō   ): 687 (0.03%)
奶 (U+5976: nǎi  ): 686 (0.03%)
结 (U+7ED3: jié  ): 686 (0.03%)
御 (U+5FA1: yù   ): 684 (0.03%)
灯 (U+706F: dēng ): 684 (0.03%)
猴 (U+7334: hóu  ): 684 (0.03%)
纵 (U+7EB5: zòng ): 682 (0.03%)
某 (U+67D0: mǒu  ): 679 (0.03%)
肉 (U+8089: ròu  ): 677 (0.03%)
元 (U+5143: yuán ): 674 (0.03%)
翻 (U+7FFB: fān  ): 672 (0.03%)
威 (U+5A01: wēi  ): 672 (0.03%)
秀 (U+79C0: xiù  ): 671 (0.03%)
善 (U+5584: shàn ): 671 (0.03%)
帐 (U+5E10: zhàng): 668 (0.03%)
歇 (U+6B47: xiē  ): 666 (0.03%)
护 (U+62A4: hù   ): 664 (0.03%)
宁 (U+5B81: níng ): 663 (0.03%)
院 (U+9662: yuàn ): 662 (0.03%)
断 (U+65AD: duàn ): 660 (0.03%)
秦 (U+79E6: qín  ): 659 (0.03%)
疑 (U+7591: yí   ): 656 (0.03%)
擒 (U+64D2: qín  ): 655 (0.03%)
辞 (U+8F9E: cí   ): 655 (0.03%)
让 (U+8BA9: ràng ): 653 (0.03%)
脸 (U+8138: liǎn ): 652 (0.03%)
围 (U+56F4: wéi  ): 651 (0.03%)
端 (U+7AEF: duān ): 648 (0.03%)
谋 (U+8C0B: móu  ): 648 (0.03%)
撞 (U+649E: zhuàng): 646 (0.03%)
贤 (U+8D24: xián ): 646 (0.03%)
乘 (U+4E58: chéng): 645 (0.03%)
座 (U+5EA7: zuò  ): 644 (0.03%)
郎 (U+90CE: láng ): 642 (0.03%)
------------
Total occurrencies: 1739174/2173218 (80.03%)
