5752 distinct characters collected so far.
The 650 most frequent ones are:
住 (U+4F4F: zhù  ): 3474 (0.16%)
若 (U+82E5: ruò  ): 3466 (0.16%)
孙 (U+5B59: sūn  ): 3437 (0.16%)
金 (U+91D1: jīn  ): 3429 (0.16%)
五 (U+4E94: wǔ   ): 3366 (0.15%)
已 (U+5DF2: yǐ   ): 3319 (0.15%)
八 (U+516B: bā   ): 3309 (0.15%)
和 (U+548C: hé   ): 3296 (0.15%)
云 (U+4E91: yún  ): 3291 (0.15%)
使 (U+4F7F: shǐ  ): 3289 (0.15%)
且 (U+4E14: qiě  ): 3250 (0.15%)
教 (U+6559: jiào ): 3239 (0.15%)
引 (U+5F15: yǐn  ): 3236 (0.15%)
吃 (U+5403: chī  ): 3224 (0.15%)
僧 (U+50E7: sēng ): 3173 (0.15%)
取 (U+53D6: qǔ   ): 3145 (0.14%)
用 (U+7528: yòng ): 3134 (0.14%)
官 (U+5B98: guān ): 3123 (0.14%)
弟 (U+5F1F: dì   ): 3110 (0.14%)
多 (U+591A: duō  ): 3094 (0.14%)
至 (U+81F3: zhì  ): 3093 (0.14%)
声 (U+58F0: shēng): 3090 (0.14%)
然 (U+7136: rán  ): 3088 (0.14%)
令 (U+4EE4: lìng ): 3038 (0.14%)
国 (U+56FD: guó  ): 3037 (0.14%)
还 (U+8FD8: hái  ): 3036 (0.14%)
州 (U+5DDE: zhōu ): 3000 (0.14%)
安 (U+5B89: ān   ): 2989 (0.14%)
做 (U+505A: zuò  ): 2953 (0.14%)
酒 (U+9152: jiǔ  ): 2904 (0.13%)
操 (U+64CD: cāo  ): 2894 (0.13%)
请 (U+8BF7: qǐng ): 2868 (0.13%)
东 (U+4E1C: dōng ): 2839 (0.13%)
边 (U+8FB9: biān ): 2823 (0.13%)
死 (U+6B7B: sǐ   ): 2806 (0.13%)
父 (U+7236: fù   ): 2793 (0.13%)
些 (U+4E9B: xiē  ): 2765 (0.13%)
其 (U+5176: qí   ): 2762 (0.13%)
乃 (U+4E43: nǎi  ): 2750 (0.13%)
命 (U+547D: mìng ): 2742 (0.13%)
西 (U+897F: xi   ): 2731 (0.13%)
领 (U+9886: lǐng ): 2709 (0.12%)
报 (U+62A5: bào  ): 2687 (0.12%)
德 (U+5FB7: dé   ): 2678 (0.12%)
哥 (U+54E5: gē   ): 2661 (0.12%)
口 (U+53E3: kǒu  ): 2659 (0.12%)
吾 (U+543E: wú   ): 2655 (0.12%)
因 (U+56E0: yīn  ): 2647 (0.12%)
话 (U+8BDD: huà  ): 2632 (0.12%)
关 (U+5173: guān ): 2624 (0.12%)
开 (U+5F00: kāi  ): 2609 (0.12%)
高 (U+9AD8: gāo  ): 2602 (0.12%)
怎 (U+600E: zěn  ): 2585 (0.12%)
武 (U+6B66: wǔ   ): 2583 (0.12%)
从 (U+4ECE: cóng ): 2551 (0.12%)
再 (U+518D: zài  ): 2513 (0.12%)
文 (U+6587: wén  ): 2509 (0.12%)
内 (U+5185: nèi  ): 2508 (0.12%)
风 (U+98CE: fēng ): 2495 (0.11%)
必 (U+5FC5: bì   ): 2485 (0.11%)
敢 (U+6562: gǎn  ): 2479 (0.11%)
兄 (U+5144: xiōng): 2478 (0.11%)
火 (U+706B: huǒ  ): 2455 (0.11%)
坐 (U+5750: zuò  ): 2451 (0.11%)
妖 (U+5996: yāo  ): 2441 (0.11%)
战 (U+6218: zhàn ): 2440 (0.11%)
曹 (U+66F9: cáo  ): 2412 (0.11%)
放 (U+653E: fàng ): 2400 (0.11%)
百 (U+767E: bǎi  ): 2395 (0.11%)
寨 (U+5BE8: zhài ): 2383 (0.11%)
外 (U+5916: wài  ): 2365 (0.11%)
被 (U+88AB: bèi  ): 2365 (0.11%)
早 (U+65E9: zǎo  ): 2364 (0.11%)
才 (U+624D: cái  ): 2348 (0.11%)
各 (U+5404: gè   ): 2338 (0.11%)
古 (U+53E4: gǔ   ): 2329 (0.11%)
花 (U+82B1: huā  ): 2325 (0.11%)
书 (U+4E66: shū  ): 2324 (0.11%)
万 (U+4E07: wàn  ): 2308 (0.11%)
即 (U+5373: jí   ): 2291 (0.11%)
望 (U+671B: wàng ): 2288 (0.11%)
作 (U+4F5C: zuò  ): 2288 (0.11%)
名 (U+540D: míng ): 2268 (0.10%)
往 (U+5F80: wǎng ): 2256 (0.10%)
神 (U+795E: shén ): 2253 (0.10%)
闻 (U+95FB: wén  ): 2253 (0.10%)
同 (U+540C: tóng ): 2218 (0.10%)
斋 (U+658B: zhāi ): 2211 (0.10%)
罢 (U+7F62: ba   ): 2197 (0.10%)
间 (U+95F4: jiān ): 2173 (0.10%)
能 (U+80FD: néng ): 2162 (0.10%)
拿 (U+62FF: ná   ): 2160 (0.10%)
喜 (U+559C: xǐ   ): 2148 (0.10%)
未 (U+672A: wèi  ): 2148 (0.10%)
士 (U+58EB: shì  ): 2146 (0.10%)
飞 (U+98DE: fēi  ): 2142 (0.10%)
汉 (U+6C49: hàn  ): 2141 (0.10%)
玄 (U+7384: xuán ): 2140 (0.10%)
真 (U+771F: zhēn ): 2136 (0.10%)
急 (U+6025: jí   ): 2131 (0.10%)
年 (U+5E74: nián ): 2127 (0.10%)
定 (U+5B9A: dìng ): 2120 (0.10%)
林 (U+6797: lín  ): 2117 (0.10%)
会 (U+4F1A: huì  ): 2111 (0.10%)
孔 (U+5B54: kǒng ): 2107 (0.10%)
圣 (U+5723: shèng): 2095 (0.10%)
拜 (U+62DC: bài  ): 2074 (0.10%)
皆 (U+7686: jiē  ): 2064 (0.09%)
原 (U+539F: yuán ): 2037 (0.09%)
气 (U+6C14: qì   ): 2020 (0.09%)
意 (U+610F: yì   ): 2009 (0.09%)
戒 (U+6212: jiè  ): 1996 (0.09%)
夜 (U+591C: yè   ): 1996 (0.09%)
尽 (U+5C3D: jǐn  ): 1992 (0.09%)
没 (U+6CA1: méi  ): 1989 (0.09%)
倒 (U+5012: dào  ): 1987 (0.09%)
贾 (U+8D3E: jiǎ  ): 1984 (0.09%)
清 (U+6E05: qīng ): 1981 (0.09%)
千 (U+5343: qiān ): 1975 (0.09%)
发 (U+53D1: fā   ): 1968 (0.09%)
龙 (U+9F99: lóng ): 1956 (0.09%)
所 (U+6240: suǒ  ): 1949 (0.09%)
怪 (U+602A: guài ): 1947 (0.09%)
刀 (U+5200: dāo  ): 1941 (0.09%)
几 (U+51E0: jǐ   ): 1935 (0.09%)
解 (U+89E3: jiě  ): 1929 (0.09%)
